Date,Category,Description
2005,shows,SCREENING: E-Monkeytown; Williamsburg; New York
2005,shows,SCREENING: e-flux video rental; Kunstwerke; Berlin; Germany
2005,time-based media,Sabotage; video document; color; sound; 2:46 min
2005,shows,GROUP: Pomerio Playground; Public Playground; Rijeka; Croatia
2004,publications,A New Domestic Landscape?; La Industry; Caracas
2004,shows,SCREENING: INVENTARIO; UGP film survey; MADC; Costa Rica
2004,shows,GROUP: The Big Nothing; Institute of Contemporary Art (ICA); Philadelphia
2004,shows,SOLO: A New Domestic Landscape?; Dabbah Torrejon; Buenos Aires
2003,publications,Quasi Schizophrenia; text por Karin Schneider e N. Guagnini; Parkett 68
2003,publications,Obra Sequestro; Revista Item; issue 6; Rio de Janeiro
2003,shows,SCREENING: Reports from the Global Village; Espaço Capacete; Brazil
2003,shows,SCREENING: Reports from the Global Village; MADC; Costa Rica
2003,shows,GROUP: 24/7; Contemporary Art Centre; Vilnius; Lithuania
2003,time-based media,UGP: Moodloop@BA; 16 mm film; color; 4 minutes
2003,time-based media,UGP: Axiom of Choice; 16 mm film; color; 5 minutes
2002,publications,Kidnapping Piece; New York Arts Magazine; volume 7; poster inside
2002,publications,The (S) files 2002; El Museo del Barrio; New York
2002,publications,TRANS magazine; Guest Editor of Film Section; issue 8; New York
2002,code,MoMA piece; QuickTime Movie; El Museo del Barrio website
2002,shows,SCREENING: Reports from the Global Village; Ocularis; Santa Monica Museum; Hawaii Film Festival
2002,shows,SCREENING: Contaminados; MADC; San José; Costa Rica
2002,time-based media,MoMA Piece; video; color; sound; 40 sec
2002,shows,GROUP: The S-files Biennial; Museo del Barrio; New York
2002,time-based media,UGP: Twins; 16 mm film; color; sound; 6 minutes
2001,publications,Made in Brazil; Ramona Magazine; issue 12; Buenos Aires
2001,publications,Luminic Suprematism; TRANS magazine; issue 8; New York
2001,publications,The Big Show; edited by Wim Peeters; published by NICC; Antwerp
2001,writing,TRANS magazine; Guest Editor of Film Section; issue 8
2001,shows,SCREENING: A Vida de Infra Tunga; Galerie Nationale du Jeu de Paume; Paris
2001,shows,SCREENING: A Vida de Infra Tunga; MARCO; Monterrey; México
2001,shows,SCREENING: A night with UGP; Anthology Film Archives; New York
2001,time-based media,Proyecto para Anbientes; video; color; 3 minutes
2001,shows,SOLO: Proyeto para Ambientes; Duplus; Buenos Aires
2001,time-based media,UGP: Square Times; 16 mm film; color; sound
2000,publications,Seja Marginal Seja Herói; Ramona magazine; issue 4; Buenos Aires
2000,publications,Revista item.6; casa de palavra; Rio de Janeiro
2000,shows,SCREENING: Uma noite com UGP; AGORA CAPACETE; Rio de Janeiro
2000,shows,SCREENING: Heaven’s Hell / Hell’s Heaven; Kiangju Biennial; Korea
2000,shows,SCREENING: A Vida de Infra Tunga; Montevideo Film Festival; Uruguay
2000,time-based media,UGP: XXI vs. XXI; 16 mm film; color; sound
2000,time-based media,UGP: The Portrait of a Lady; 16 mm film installation
2000,time-based media,UGP: Yin Yang; 16 mm film installation; color; sound; loop
1999,publications,Arte Fotográfico Argentino; MAMBA
1999,shows,SCREENING: Phantom Limb; Museum of Modern Art; Buenos Aires
1999,shows,SCREENING: Heaven’s Hell / Hell’s Heaven; Centro Cultural Recoleta; Argentina
1999,shows,SCREENING: The End; Anthology Film Archives; New York
1999,shows,SCREENING: The End; Museum of Modern Art; Rio de Janeiro
1999,time-based media,UGP: Heaven’s Hell / Hell’s Heaven; 16 mm film; 20 minutes
1999,time-based media,UGP: A vida de Infra Tunga; 16 mm film; 11 minutes
